ID_REF	GSM5101328	GSM5101329	GSM5101330	GSM5101331	GSM5101332	GSM5101333
TC1900008546.hg.1	4.013727	3.799902	4.174411	4.022556	3.979376	4.280189
TC1900008547.hg.1	7.799409	7.658679	7.884962	7.43903	7.737445	7.80264
TC1900008549.hg.1	7.299513	6.959925	6.685977	6.289056	6.320675	6.495965
TC1900008551.hg.1	6.659421	6.770563	6.510316	6.37454	6.502636	6.570951
TC1900008555.hg.1	7.524599	7.538442	7.488737	7.367474	7.407608	7.621587
TC1900008558.hg.1	6.335096	7.048408	6.760372	6.988989	7.124262	6.993027
TC1900008560.hg.1	7.838885	7.889149	7.966742	8.003531	7.903741	7.866975
TC1900008561.hg.1	5.892377	5.420843	5.625642	4.674691	4.61146	5.426595
TC1900008562.hg.1	5.953037	6.19301	5.911086	6.236334	6.167623	6.224927
TC1900008564.hg.1	5.858695	5.522867	5.602586	5.796496	5.59405	5.591372
TC1900008566.hg.1	6.260472	6.260225	6.489048	6.548255	6.260472	6.214216
TC1900008569.hg.1	6.635114	6.27715	6.134546	6.091619	5.705241	5.696304
TC1900008575.hg.1	6.017179	5.571199	5.797047	5.989029	5.951253	6.388728
TC1900008584.hg.1	4.741239	4.125429	4.322966	4.308201	3.99799	4.308201
TC1900008594.hg.1	3.788147	3.733621	4.054667	4.09064	3.371302	3.607653
TC1900008597.hg.1	4.669161	4.439729	5.217906	3.930947	4.308938	4.297319
TC1900008600.hg.1	3.817803	4.260065	4.371605	3.704315	4.227963	3.9687
TC1900008603.hg.1	5.186679	5.098829	5.453399	4.966465	4.730725	4.848208
TC1900008604.hg.1	5.252013	4.663351	5.156562	4.919549	5.059608	4.164659
TC1900008607.hg.1	5.978718	6.365281	6.092819	5.727037	5.716185	5.988992
TC1900008608.hg.1	4.972779	4.431194	4.365029	4.337457	4.234943	4.295078
TC1900008623.hg.1	3.832389	3.998239	3.941221	3.948622	4.047944	4.039238
TC1900008625.hg.1	5.353166	4.989364	4.976555	5.2335	5.177541	4.7713
TC1900008633.hg.1	4.769881	4.70709	4.362024	4.180031	4.157989	4.376387
TC1900008634.hg.1	4.496831	3.896826	4.132737	4.060281	3.714446	4.529281
TC1900008637.hg.1	5.850143	5.378722	5.340692	4.71692	5.27853	4.785439
TC1900008646.hg.1	6.747187	6.23297	6.634507	5.967424	5.942851	6.477334
TC1900008649.hg.1	3.54607	3.493419	3.804146	3.638579	3.628308	3.524796
TC1900008655.hg.1	5.296954	5.39827	5.020912	5.469191	5.164893	5.637934
TC1900008665.hg.1	5.211268	5.763788	5.537961	5.658103	5.767378	5.261835
TC1900008668.hg.1	3.937098	3.988122	4.011451	3.7006	4.358893	3.76538
TC1900008669.hg.1	3.719882	3.536577	3.702323	4.04587	3.87241	4.005373
TC1900008689.hg.1	8.040255	7.961454	8.029561	7.269713	7.803758	7.902299
TC1900008691.hg.1	4.050467	4.395704	4.127188	4.665786	4.382022	5.04344
TC1900008692.hg.1	6.740036	7.030473	6.909637	7.416338	7.101323	6.980133
TC1900008694.hg.1	4.351089	4.039146	4.151153	4.263538	4.193172	3.923733
TC1900008696.hg.1	5.435994	5.335755	5.376026	5.338698	5.620028	5.381281
TC1900008699.hg.1	4.321303	4.796328	5.134664	4.926337	4.474697	4.96309
TC1900008701.hg.1	3.476648	3.600546	3.927446	4.134548	4.121082	3.997143
TC1900008702.hg.1	4.719656	4.405734	4.44043	4.469728	4.917714	4.451463
