ID_REF	GSM5101325	GSM5101326	GSM5101327
TC0100009032.hg.1	4.602443	5.758769	4.281472
TC0100009035.hg.1	3.463035	2.853857	3.402894
TC0100009038.hg.1	3.025434	2.732099	3.040437
TC0100009040.hg.1	5.381895	4.157807	5.333816
TC0100009046.hg.1	11.075254	10.927914	11.082706
TC0100009048.hg.1	5.069599	4.983352	4.696192
TC0100009054.hg.1	6.504556	5.825642	6.145305
TC0100009056.hg.1	4.767302	4.30625	4.521263
TC0100009061.hg.1	8.41165	7.05986	8.299984
TC0100009064.hg.1	7.621776	6.107183	7.395453
TC0100009067.hg.1	7.289437	6.971334	7.105966
TC0100009097.hg.1	9.533602	8.627344	9.602299
TC0100009101.hg.1	5.483723	4.651125	5.062267
TC0100009102.hg.1	2.867567	3.151351	2.862181
TC0100009109.hg.1	6.128852	5.827356	5.884274
TC0100009112.hg.1	5.648606	5.802366	5.573099
TC0100009116.hg.1	6.067501	5.242517	5.779724
TC0100009142.hg.1	6.135501	4.449679	5.615077
TC0100009149.hg.1	5.116741	3.865659	4.197978
TC0100009176.hg.1	6.842443	6.251534	6.65629
TC0100009181.hg.1	3.198328	4.02317	3.072394
TC0100009183.hg.1	7.73666	7.409117	7.919896
TC0100009191.hg.1	6.969011	5.946498	7.217032
TC0100009195.hg.1	6.157524	4.818645	6.638502
TC0100009199.hg.1	7.744157	6.290314	7.911897
TC0100009204.hg.1	6.288961	5.350511	6.564548
TC0100009211.hg.1	7.605296	6.973899	7.718685
TC0100009215.hg.1	6.331191	6.399145	5.962773
TC0100009218.hg.1	4.039623	4.951776	4.152507
TC0100009221.hg.1	4.376918	5.201417	3.602918
TC0100009226.hg.1	7.658462	5.972768	7.841852
TC0100009241.hg.1	4.752566	4.80603	4.709406
TC0100009273.hg.1	3.461576	3.53651	3.623308
TC0100009274.hg.1	2.639038	3.969495	3.43293
TC0100009276.hg.1	3.077822	2.912703	3.192139
TC0100009305.hg.1	4.017573	3.95476	3.905917
TC0100009307.hg.1	2.99464	3.74891	3.0137
TC0100009324.hg.1	5.183238	5.513694	4.987197
TC0100009328.hg.1	6.887295	6.479819	6.581795
TC0100009329.hg.1	2.716653	3.509578	2.95893
TC0100009331.hg.1	5.889112	4.976993	6.078178
TC0100009333.hg.1	6.197378	5.520431	6.328633
TC0100009339.hg.1	6.591866	5.902585	6.724317
TC0100009341.hg.1	3.647078	4.511201	4.016643
TC0100009344.hg.1	8.07828	6.95829	8.156501
TC0100009345.hg.1	4.201094	5.001151	5.207229
TC0100009352.hg.1	4.345913	5.556686	4.58779
TC0100009353.hg.1	5.194319	5.006896	5.178473
TC0100009354.hg.1	3.855385	4.156302	4.230745
TC0100009355.hg.1	4.446473	6.06798	4.473948
TC0100009364.hg.1	7.173157	5.908566	7.395658
TC0100009365.hg.1	9.762516	9.102705	9.769558
TC0100009366.hg.1	7.200963	7.174633	7.210664
TC0100009370.hg.1	3.817972	4.488318	3.511925
TC0100009373.hg.1	3.895659	5.318784	3.122153
TC0100009383.hg.1	8.555545	8.578959	8.507525
TC0100009386.hg.1	5.999794	6.518598	6.430871
TC0100009394.hg.1	3.276556	4.326585	3.917069
TC0100009395.hg.1	2.902157	2.901033	3.5003
TC0100009402.hg.1	6.985885	5.740365	7.024456
TC0100009403.hg.1	3.014347	4.825437	3.147574
TC0100009406.hg.1	3.155725	4.045404	3.664752
TC0100009408.hg.1	3.825444	3.633191	3.414415
TC0100009414.hg.1	9.430196	8.572491	9.466859
TC0100009417.hg.1	4.290447	5.538828	4.623375
TC0100009418.hg.1	6.713819	5.512851	6.736706
TC0100009428.hg.1	6.048245	5.34129	6.004694
TC0100009433.hg.1	5.673029	6.815437	5.532769
TC0100009441.hg.1	6.904078	6.07648	6.841685
TC0100009442.hg.1	3.675967	3.827952	4.283133
TC0100009444.hg.1	7.65	6.732209	7.52965
TC0100009449.hg.1	7.516765	6.529048	7.563291
TC0100009452.hg.1	6.98549	8.495073	6.927097
TC0100009468.hg.1	4.666972	4.800252	5.219445
TC0100009474.hg.1	5.136925	4.8509	5.360603
TC0100009475.hg.1	5.455557	5.332771	5.338123
TC0100009479.hg.1	6.061296	5.305676	6.463293
TC0100009480.hg.1	8.83438	7.777606	8.891368
TC0100009482.hg.1	3.209604	2.863475	2.985903
TC0100009509.hg.1	2.926384	2.99125	2.481044
TC0100009511.hg.1	2.839546	3.967716	3.74883
TC0100009524.hg.1	6.948521	5.040899	6.683681
TC0100009534.hg.1	4.152694	4.267605	4.137578
TC0100009535.hg.1	5.094185	5.839293	4.986553
TC0100009553.hg.1	3.161373	3.606929	3.196381
TC0100009555.hg.1	3.063306	2.704826	2.710686
TC0100009558.hg.1	6.920615	6.134244	7.001346
