ID_REF	GSM3211361	GSM3211362	GSM3211363
hsa-miR-208b-5p	-2.868	-3.2535	-3.4279
hsa-miR-20a-3p	-2.868	-3.2535	-3.4279
hsa-miR-20a-5p	6.8086	5.8361	6.6151
hsa-miR-20b-3p	-2.868	-3.2535	-3.4279
hsa-miR-20b-5p	4.9533	3.97	4.7456
hsa-miR-21-3p	0.5737	0.0684	1.4211
hsa-miR-21-5p	8.2837	7.4662	8.1208
hsa-miR-210-3p	-2.868	-3.2535	-3.4279
hsa-miR-210-5p	-2.868	-3.2535	-3.4279
hsa-miR-211-3p	3.7948	3.0709	3.3129
hsa-miR-211-5p	-2.868	-3.2535	-3.4279
hsa-miR-2110	-2.868	-3.2535	-3.4279
hsa-miR-2113	-2.868	-3.2535	-3.4279
hsa-miR-2114-3p	-2.868	-3.2535	-3.4279
hsa-miR-2114-5p	-2.868	-3.2535	-3.4279
hsa-miR-2115-3p	-2.868	-3.2535	-3.4279
hsa-miR-2115-5p	-2.868	-3.2535	-3.4279
hsa-miR-2116-3p	0.4539	-3.2535	-0.1059
hsa-miR-2116-5p	-2.868	-3.2535	-3.4279
hsa-miR-2117	-2.868	-3.2535	0.7927
hsa-miR-212-3p	-2.868	-3.2535	0.94
hsa-miR-212-5p	-2.868	-3.2535	-3.4279
hsa-miR-214-3p	-2.868	-3.2535	-3.4279
hsa-miR-214-5p	-2.868	-3.2535	-3.4279
hsa-miR-215-3p	-2.868	-3.2535	-3.4279
hsa-miR-215-5p	-2.868	-3.2535	-3.4279
hsa-miR-216a-3p	-2.868	-3.2535	-3.4279
hsa-miR-216a-5p	-2.868	-3.2535	-3.4279
hsa-miR-216b-3p	-2.868	-3.2535	-3.4279
hsa-miR-216b-5p	-2.868	-3.2535	-3.4279
hsa-miR-217	-2.868	-3.2535	-3.4279
hsa-miR-218-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-218-2-3p	-2.868	-3.2535	-3.4279
hsa-miR-218-5p	-2.868	-3.2535	-3.4279
hsa-miR-219a-1-3p	-2.868	-3.2535	-3.4279
hsa-miR-219a-2-3p	-2.868	-3.2535	-3.4279
