"ID_REF"	"GSM3683663"	"GSM3683664"	"GSM3683665"	"GSM3683666"	"GSM3683667"	"GSM3683668"	"GSM3683669"
"hsa-miR-5047"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-505-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-505-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-506-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-506-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-507"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-508-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-508-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5087"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5088-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5088-5p"	0.025395136	0.024119124	0.50905375	0.032694673	0.038263732	0.265517416	0.033294865
"hsa-miR-5089-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5089-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-509-3-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-509-3p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-509-5p"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5090"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5091"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
"hsa-miR-5092"	0.025395136	0.024119124	0.019560038	0.032694673	0.038263732	0.007899483	0.033294865
