"ID_REF"	"GSM3211361"	"GSM3211362"	"GSM3211363"	"GSM3211364"	"GSM3211365"	"GSM3211366"
"hsa-miR-1299"	1.6723	1.9073	2.6251	3.3983	1.5435	2.0022
"hsa-miR-1301-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1301-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1302"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1303"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1304-3p"	1.6721	1.4194	1.0747	1.1397	1.3639	1.3469
"hsa-miR-1304-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1305"	-2.8680	-3.2535	1.6748	1.5639	-3.1524	2.2234
"hsa-miR-1306-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	1.5880
"hsa-miR-1306-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1307-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1307-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-0.2790
"hsa-miR-130a-3p"	-2.8680	-3.2535	-3.4279	0.1046	-3.1524	-3.9811
"hsa-miR-130a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-130b-3p"	1.6221	0.1275	1.4598	2.5706	1.5845	1.6729
"hsa-miR-130b-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-132-3p"	-2.8680	-3.2535	-3.4279	1.4378	-3.1524	-3.9811
"hsa-miR-132-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1321"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1322"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1323"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1324"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-133a-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-133a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-133b"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-134-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-134-5p"	-2.8680	1.9662	3.5196	1.4707	2.1083	5.2331
"hsa-miR-1343-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1343-5p"	-2.8680	-3.2535	1.5146	-3.2487	-3.1524	2.1634
"hsa-miR-135a-3p"	-2.8680	4.2474	4.4609	3.4678	4.3430	6.7995
"hsa-miR-135a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-135b-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-135b-5p"	2.3139	1.6495	2.2039	3.4109	2.2870	2.2117
"hsa-miR-136-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-136-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-137"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-138-1-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-138-2-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-138-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-139-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-139-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-140-3p"	-2.8680	-3.2535	-3.4279	0.0732	-3.1524	-3.9811
"hsa-miR-140-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-141-3p"	6.0513	5.4542	6.0724	6.8251	5.8394	5.6547
"hsa-miR-141-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-142-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-142-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-143-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-143-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-144-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-144-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-145-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-145-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1468-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1468-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1469"	-2.8680	0.2118	-0.1059	-3.2487	-3.1524	0.7847
"hsa-miR-146a-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-146a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-146b-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-146b-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1470"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1471"	-2.8680	2.9172	2.6066	1.5233	1.4617	4.0530
"hsa-miR-147a"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-147b"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-148a-3p"	0.9338	0.0684	1.2390	1.2364	-3.1524	-3.9811
"hsa-miR-148a-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-148b-3p"	-2.8680	-3.2535	-0.1059	1.0192	0.1695	-0.1516
"hsa-miR-148b-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-149-3p"	-2.8680	0.0684	-3.4279	-3.2487	0.3531	1.2798
"hsa-miR-149-5p"	0.4539	1.0125	0.8485	0.0732	0.2901	1.0223
"hsa-miR-150-3p"	3.3436	4.8274	6.5635	4.3403	4.2624	7.2684
"hsa-miR-150-5p"	-2.8680	-3.2535	-3.4279	1.1651	0.1695	-0.6592
"hsa-miR-151a-3p"	0.4539	-3.2535	0.2442	1.6324	-3.1524	0.0470
"hsa-miR-151a-5p"	2.2868	1.5824	1.8190	2.9438	1.3254	1.6680
"hsa-miR-151b"	0.7028	0.1117	0.7123	1.4940	0.5314	0.6666
"hsa-miR-152-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-152-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-153-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-153-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1537-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1537-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1538"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-1539"	-2.8680	0.8723	-0.1059	0.0732	-3.1524	0.9599
"hsa-miR-154-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-154-5p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-155-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-155-5p"	-2.8680	-3.2535	-3.4279	0.4751	0.5653	2.1990
"hsa-miR-1587"	0.9499	4.9671	3.6195	3.0376	3.9654	5.4461
"hsa-miR-15a-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-15a-5p"	3.6918	2.9913	3.3446	3.4587	2.8646	2.5906
"hsa-miR-15b-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-15b-5p"	5.8065	5.1498	5.6524	5.9802	5.0296	4.7276
"hsa-miR-16-1-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
"hsa-miR-16-2-3p"	-2.8680	-3.2535	-0.1059	0.0732	-3.1524	-3.9811
"hsa-miR-16-5p"	6.3175	5.4032	6.0713	6.4056	5.3512	5.2771
"hsa-miR-17-3p"	0.9608	0.2636	0.8267	1.4894	0.2433	-0.1890
"hsa-miR-17-5p"	5.9917	4.9788	5.7285	5.8814	5.0732	4.7788
"hsa-miR-181a-2-3p"	-2.8680	-3.2535	-3.4279	-3.2487	-3.1524	-3.9811
